,Marks,WinRate,MVP,Played,URL
61,118,59.15%,110,519,https://sea.wildstats.gg/en/profile/yu4R9D6aV5Rmb5XSwjYw
62,118,61.46%,84,467,https://sea.wildstats.gg/en/profile/25EulBzPxA2iTdTugerv
63,118,54.32%,28,856,https://sea.wildstats.gg/en/profile/QJBjjMZ16p7kdqzjEnA6
64,118,58.88%,131,552,https://sea.wildstats.gg/en/profile/rnNy2ou8zbKCR5hZMClQ
65,118,53.4%,235,957,https://sea.wildstats.gg/en/profile/LDn3Fwo1sndeVISEeYqz
66,118,53.56%,157,898,https://sea.wildstats.gg/en/profile/yr9WgXZrWqO77pQ76Rtb
67,117,58.12%,40,585,https://sea.wildstats.gg/en/profile/2UVzQEk82Ysg5EuVod5U
68,116,52.52%,376,"1,150",https://sea.wildstats.gg/en/profile/UG4jJFM2rfF31WHVrjvG
69,117,52.6%,94,"1,173",https://sea.wildstats.gg/en/profile/Y0dRjx0uWdoiZvPQkVku
70,117,52.97%,248,942,https://sea.wildstats.gg/en/profile/lrRfHlpS0ah43tVyE3Wd
71,117,54.71%,224,764,https://sea.wildstats.gg/en/profile/4amMlvJffQPwc2tgqkJf
72,117,52.98%,201,991,https://sea.wildstats.gg/en/profile/vATrFnM7EkHo89GTtr8G
73,117,57.26%,146,620,https://sea.wildstats.gg/en/profile/ieTFSECMjKR475sbJI8f
74,116,57.41%,55,540,https://sea.wildstats.gg/en/profile/IRI9ITFjDhCLn10UOLCd
75,116,61.63%,66,430,https://sea.wildstats.gg/en/profile/zKCcIG6fdkQT894jkQsI
76,116,54.97%,130,784,https://sea.wildstats.gg/en/profile/bw4M67rfpUK20cd30zxS
77,116,53.07%,212,993,https://sea.wildstats.gg/en/profile/kaNFFMVDWTBIg7VYK1Pz
78,116,55.16%,177,756,https://sea.wildstats.gg/en/profile/IX7OPNDKxWZRgVsxgQAy
79,115,58.5%,105,535,https://sea.wildstats.gg/en/profile/gCCOPaHPcOLe9fCpj8bd
80,115,56.54%,138,589,https://sea.wildstats.gg/en/profile/UOU7RaEaLvekZUOatzt8
81,115,54.87%,122,811,https://sea.wildstats.gg/en/profile/BE6p43HIWJIDTWMwH87v
82,115,55.8%,38,672,https://sea.wildstats.gg/en/profile/7qS5bv6KSmkwooiyyQOp
83,115,54.34%,153,830,https://sea.wildstats.gg/en/profile/ZwekLkoplAdq7nRbNpo2
84,114,56.78%,147,634,https://sea.wildstats.gg/en/profile/Q61k8F4RkIWPhyNbursA
85,114,54.2%,136,869,https://sea.wildstats.gg/en/profile/8oK9fBIOWyVz6eWd8rtO
86,114,60.72%,26,415,https://sea.wildstats.gg/en/profile/TiXuEqnfODlTRaXBvtMF
87,114,58.63%,70,481,https://sea.wildstats.gg/en/profile/FEZipCZSE42oXb9deDT8
88,113,53.61%,232,"1,218",https://sea.wildstats.gg/en/profile/5IxmwFUcyjHT7JRHZJrK
89,114,58.25%,92,503,https://sea.wildstats.gg/en/profile/jMxKPwjzKiVNcvGYI1z7
90,113,55.89%,198,857,https://sea.wildstats.gg/en/profile/YGjiWP0dp7MFiV7Pkx4a
91,113,56.74%,72,668,https://sea.wildstats.gg/en/profile/udoe0KeMMbJWybqgLWv1
92,113,58.19%,151,507,https://sea.wildstats.gg/en/profile/iHoH3aabKXYgzN4OQYsz
93,113,55.46%,163,613,https://sea.wildstats.gg/en/profile/B8uiBHemjbHNrscCSuST
94,113,52.95%,186,"1,086",https://sea.wildstats.gg/en/profile/M97s4TQciek63jR8mwLQ
95,113,53.5%,182,944,https://sea.wildstats.gg/en/profile/uUnAOUtRGxE5oO71VxYM
96,113,53.96%,119,847,https://sea.wildstats.gg/en/profile/s8ysRrqSanFUJlqV5XtK
97,113,52.42%,238,"1,238",https://sea.wildstats.gg/en/profile/Ik16i4b6FBFrTgGJDdRU
98,113,53.74%,328,"1,122",https://sea.wildstats.gg/en/profile/SmayyMk0IeqdjZHI07nK
99,113,54.67%,222,706,https://sea.wildstats.gg/en/profile/J9b5FYRbpbB27trlQ0y8
100,112,62.47%,98,381,https://sea.wildstats.gg/en/profile/hW1yIKTetvNTCNo7xbWn
101,112,58.49%,83,530,https://sea.wildstats.gg/en/profile/zG2LWsSXRZ6wq7nchf0j
102,112,53.78%,146,952,https://sea.wildstats.gg/en/profile/Qoql9JHvH4jfwmMpxgqN
103,112,56.43%,34,645,https://sea.wildstats.gg/en/profile/w6zm29tQYD0fe1A8jTgT
104,112,52.54%,79,"1,121",https://sea.wildstats.gg/en/profile/fL1Dftq131uvdyfFkqeh
105,112,51.8%,164,"1,253",https://sea.wildstats.gg/en/profile/5IYZrqWLf6Gi7eIngiJq
106,111,55.85%,50,684,https://sea.wildstats.gg/en/profile/GxhxiGzJ3LA62rdNJzLF
107,111,56.35%,128,591,https://sea.wildstats.gg/en/profile/bxdn2q1zI3hHP5m2Cvr4
108,111,54.95%,95,788,https://sea.wildstats.gg/en/profile/mDwC0ZtSmJe72I2sStB8
109,111,54.03%,182,694,https://sea.wildstats.gg/en/profile/NtrGHdNEJIZ4S8h1dprd
110,111,52.63%,231,"1,197",https://sea.wildstats.gg/en/profile/oqgX26TKBLF59NyQtHPS
111,110,59.41%,98,478,https://sea.wildstats.gg/en/profile/E9Mu1sea4H2zWAxWyCAF
112,110,61.03%,63,426,https://sea.wildstats.gg/en/profile/XBPq0gEZ6gBd4WVDXoFe
113,110,53.59%,173,808,https://sea.wildstats.gg/en/profile/tQ850aPq7H1tvAf1mVqe
114,110,57.29%,195,487,https://sea.wildstats.gg/en/profile/wz9zc1a3pz0zI1e9XlLq
115,110,54.24%,200,813,https://sea.wildstats.gg/en/profile/P3INNSQCI6ya4LnxfyeC
116,110,57.17%,150,530,https://sea.wildstats.gg/en/profile/iXGJcN3V4eOfmb5XdDed
117,110,56.57%,200,578,https://sea.wildstats.gg/en/profile/y6FBogOpz70jIGPmDc8z
118,110,53.93%,235,777,https://sea.wildstats.gg/en/profile/N3eoE1dCeMXua7LgNbAp
119,109,60.5%,67,443,https://sea.wildstats.gg/en/profile/tXpbJ6K2nlsCbhpIaWJl
120,109,57.42%,133,559,https://sea.wildstats.gg/en/profile/mPxfyOxaRUZZZ1BazujK
